grad_percentile,var_percentile,noise,run,grad_thr,var_thr,ml1_trigger,ml2_trigger,quorum_epoch,val_acc_at_quorum,final_val_acc,quorum_reached
10,10,0.5,1,0.0961,4.948e-06,43.0,30.0,43.0,0.7999,0.80525,True
10,10,0.5,2,0.0961,4.948e-06,,40.0,,,0.8057,False
10,10,0.5,3,0.0961,4.948e-06,,,,,0.80885,False
10,10,1.0,1,0.1419,5.924e-06,,,,,0.76705,False
10,10,1.0,2,0.1419,5.924e-06,31.0,,,,0.77495,False
10,10,1.0,3,0.1419,5.924e-06,,30.0,,,0.761,False
10,10,1.5,1,0.1285,7.421000000000001e-06,,,,,0.7488,False
10,10,1.5,2,0.1285,7.421000000000001e-06,40.0,,,,0.7543,False
10,10,1.5,3,0.1285,7.421000000000001e-06,,45.0,,,0.75075,False
10,25,0.5,1,0.0961,1.282e-05,43.0,21.0,43.0,0.7999,0.80525,True
10,25,0.5,2,0.0961,1.282e-05,32.0,40.0,40.0,0.8001499999999999,0.8057,True
10,25,0.5,3,0.0961,1.282e-05,,,,,0.80885,False
10,25,1.0,1,0.1419,1.40475e-05,20.0,,,,0.76705,False
10,25,1.0,2,0.1419,1.40475e-05,31.0,43.0,43.0,0.7661,0.77495,True
10,25,1.0,3,0.1419,1.40475e-05,,30.0,,,0.761,False
10,25,1.5,1,0.1285,1.28675e-05,,20.0,,,0.7488,False
10,25,1.5,2,0.1285,1.28675e-05,38.0,48.0,48.0,0.7513000000000001,0.7543,True
10,25,1.5,3,0.1285,1.28675e-05,,44.0,,,0.75075,False
10,50,0.5,1,0.0961,2.4665000000000002e-05,43.0,21.0,43.0,0.7999,0.80525,True
10,50,0.5,2,0.0961,2.4665000000000002e-05,32.0,35.0,35.0,0.7947,0.8057,True
10,50,0.5,3,0.0961,2.4665000000000002e-05,11.0,12.0,12.0,0.7362,0.80885,True
10,50,1.0,1,0.1419,3.1375000000000004e-05,20.0,37.0,37.0,0.7555499999999999,0.76705,True
10,50,1.0,2,0.1419,3.1375000000000004e-05,31.0,32.0,32.0,0.74705,0.77495,True
10,50,1.0,3,0.1419,3.1375000000000004e-05,36.0,24.0,36.0,0.75515,0.761,True
10,50,1.5,1,0.1285,2.928e-05,,20.0,,,0.7488,False
10,50,1.5,2,0.1285,2.928e-05,20.0,48.0,48.0,0.7513000000000001,0.7543,True
10,50,1.5,3,0.1285,2.928e-05,,14.0,,,0.75075,False
25,10,0.5,1,0.2354,4.948e-06,43.0,30.0,43.0,0.7999,0.80525,True
25,10,0.5,2,0.2354,4.948e-06,,23.0,,,0.8057,False
25,10,0.5,3,0.2354,4.948e-06,36.0,47.0,47.0,0.79525,0.80885,True
