condition,noise,run,node,epoch,grad_slope,grad_thresh,grad_pass,acc_variance,var_thresh,var_pass,local_converged,global_flag_value,log_reported_node,val_accuracy,source_file
baseline,,1,ml1,1,,,,,,,,,,0.7839,exp_baseline_ml1_run1.log
baseline,,1,ml1,2,,,,,,,,,,0.8345,exp_baseline_ml1_run1.log
baseline,,1,ml1,3,,,,,,,,,,0.8473,exp_baseline_ml1_run1.log
baseline,,1,ml1,4,,,,,,,,,,0.8518,exp_baseline_ml1_run1.log
baseline,,1,ml1,5,,,,,,,,,,0.8663,exp_baseline_ml1_run1.log
baseline,,1,ml1,6,,,,,,,,,,0.8700,exp_baseline_ml1_run1.log
baseline,,1,ml1,7,,,,,,,,,,0.8776,exp_baseline_ml1_run1.log
baseline,,1,ml1,8,,,,,,,,,,0.8783,exp_baseline_ml1_run1.log
baseline,,1,ml1,9,,,,,,,,,,0.8815,exp_baseline_ml1_run1.log
baseline,,1,ml1,10,,,,,,,,,,0.8793,exp_baseline_ml1_run1.log
baseline,,1,ml1,11,,,,,,,,,,0.8845,exp_baseline_ml1_run1.log
baseline,,1,ml1,12,,,,,,,,,,0.8843,exp_baseline_ml1_run1.log
baseline,,1,ml1,13,,,,,,,,,,0.8824,exp_baseline_ml1_run1.log
baseline,,1,ml1,14,,,,,,,,,,0.8884,exp_baseline_ml1_run1.log
baseline,,1,ml1,15,,,,,,,,,,0.8811,exp_baseline_ml1_run1.log
baseline,,1,ml1,16,,,,,,,,,,0.8913,exp_baseline_ml1_run1.log
baseline,,1,ml1,17,,,,,,,,,,0.8905,exp_baseline_ml1_run1.log
baseline,,1,ml1,18,,,,,,,,,,0.8925,exp_baseline_ml1_run1.log
baseline,,1,ml1,19,,,,,,,,,,0.8865,exp_baseline_ml1_run1.log
baseline,,1,ml1,20,,,,,,,,,,0.8853,exp_baseline_ml1_run1.log
baseline,,1,ml1,21,,,,,,,,,,0.8927,exp_baseline_ml1_run1.log
baseline,,1,ml1,22,,,,,,,,,,0.8927,exp_baseline_ml1_run1.log
baseline,,1,ml1,23,,,,,,,,,,0.8942,exp_baseline_ml1_run1.log
baseline,,1,ml1,24,,,,,,,,,,0.8939,exp_baseline_ml1_run1.log
baseline,,1,ml1,25,,,,,,,,,,0.8892,exp_baseline_ml1_run1.log
baseline,,1,ml1,26,,,,,,,,,,0.8946,exp_baseline_ml1_run1.log
baseline,,1,ml1,27,,,,,,,,,,0.8941,exp_baseline_ml1_run1.log
baseline,,1,ml1,28,,,,,,,,,,0.8942,exp_baseline_ml1_run1.log
baseline,,1,ml1,29,,,,,,,,,,0.8972,exp_baseline_ml1_run1.log
baseline,,1,ml1,30,,,,,,,,,,0.8926,exp_baseline_ml1_run1.log
baseline,,1,ml1,31,,,,,,,,,,0.8967,exp_baseline_ml1_run1.log
baseline,,1,ml1,32,,,,,,,,,,0.8927,exp_baseline_ml1_run1.log
baseline,,1,ml1,33,,,,,,,,,,0.8967,exp_baseline_ml1_run1.log
baseline,,1,ml1,34,,,,,,,,,,0.8996,exp_baseline_ml1_run1.log
baseline,,1,ml1,35,,,,,,,,,,0.8940,exp_baseline_ml1_run1.log
baseline,,1,ml1,36,,,,,,,,,,0.8945,exp_baseline_ml1_run1.log
baseline,,1,ml1,37,,,,,,,,,,0.8924,exp_baseline_ml1_run1.log
baseline,,1,ml1,38,,,,,,,,,,0.9000,exp_baseline_ml1_run1.log
baseline,,1,ml1,39,,,,,,,,,,0.8938,exp_baseline_ml1_run1.log
baseline,,1,ml1,40,,,,,,,,,,0.8981,exp_baseline_ml1_run1.log
baseline,,1,ml1,41,,,,,,,,,,0.8892,exp_baseline_ml1_run1.log
baseline,,1,ml1,42,,,,,,,,,,0.8984,exp_baseline_ml1_run1.log
baseline,,1,ml1,43,,,,,,,,,,0.8982,exp_baseline_ml1_run1.log
baseline,,1,ml1,44,,,,,,,,,,0.8990,exp_baseline_ml1_run1.log
baseline,,1,ml1,45,,,,,,,,,,0.8948,exp_baseline_ml1_run1.log
baseline,,1,ml1,46,,,,,,,,,,0.9008,exp_baseline_ml1_run1.log
baseline,,1,ml1,47,,,,,,,,,,0.9007,exp_baseline_ml1_run1.log
baseline,,1,ml1,48,,,,,,,,,,0.9019,exp_baseline_ml1_run1.log
baseline,,1,ml1,49,,,,,,,,,,0.9011,exp_baseline_ml1_run1.log
baseline,,1,ml1,50,,,,,,,,,,0.8966,exp_baseline_ml1_run1.log
baseline,,1,ml2,1,,,,,,,,,,0.8080,exp_baseline_ml2_run1.log
baseline,,1,ml2,2,,,,,,,,,,0.8286,exp_baseline_ml2_run1.log
baseline,,1,ml2,3,,,,,,,,,,0.8452,exp_baseline_ml2_run1.log
baseline,,1,ml2,4,,,,,,,,,,0.8590,exp_baseline_ml2_run1.log
baseline,,1,ml2,5,,,,,,,,,,0.8698,exp_baseline_ml2_run1.log
baseline,,1,ml2,6,,,,,,,,,,0.8587,exp_baseline_ml2_run1.log
baseline,,1,ml2,7,,,,,,,,,,0.8769,exp_baseline_ml2_run1.log
baseline,,1,ml2,8,,,,,,,,,,0.8664,exp_baseline_ml2_run1.log
baseline,,1,ml2,9,,,,,,,,,,0.8798,exp_baseline_ml2_run1.log
baseline,,1,ml2,10,,,,,,,,,,0.8803,exp_baseline_ml2_run1.log
baseline,,1,ml2,11,,,,,,,,,,0.8804,exp_baseline_ml2_run1.log
baseline,,1,ml2,12,,,,,,,,,,0.8892,exp_baseline_ml2_run1.log
baseline,,1,ml2,13,,,,,,,,,,0.8899,exp_baseline_ml2_run1.log
baseline,,1,ml2,14,,,,,,,,,,0.8935,exp_baseline_ml2_run1.log
baseline,,1,ml2,15,,,,,,,,,,0.8959,exp_baseline_ml2_run1.log
baseline,,1,ml2,16,,,,,,,,,,0.8870,exp_baseline_ml2_run1.log
baseline,,1,ml2,17,,,,,,,,,,0.8930,exp_baseline_ml2_run1.log
baseline,,1,ml2,18,,,,,,,,,,0.8899,exp_baseline_ml2_run1.log
baseline,,1,ml2,19,,,,,,,,,,0.8913,exp_baseline_ml2_run1.log
baseline,,1,ml2,20,,,,,,,,,,0.8927,exp_baseline_ml2_run1.log
baseline,,1,ml2,21,,,,,,,,,,0.8911,exp_baseline_ml2_run1.log
baseline,,1,ml2,22,,,,,,,,,,0.8937,exp_baseline_ml2_run1.log
baseline,,1,ml2,23,,,,,,,,,,0.8944,exp_baseline_ml2_run1.log
baseline,,1,ml2,24,,,,,,,,,,0.8996,exp_baseline_ml2_run1.log
baseline,,1,ml2,25,,,,,,,,,,0.8915,exp_baseline_ml2_run1.log
baseline,,1,ml2,26,,,,,,,,,,0.8999,exp_baseline_ml2_run1.log
baseline,,1,ml2,27,,,,,,,,,,0.8790,exp_baseline_ml2_run1.log
baseline,,1,ml2,28,,,,,,,,,,0.8936,exp_baseline_ml2_run1.log
baseline,,1,ml2,29,,,,,,,,,,0.8995,exp_baseline_ml2_run1.log
baseline,,1,ml2,30,,,,,,,,,,0.8944,exp_baseline_ml2_run1.log
baseline,,1,ml2,31,,,,,,,,,,0.8917,exp_baseline_ml2_run1.log
baseline,,1,ml2,32,,,,,,,,,,0.8960,exp_baseline_ml2_run1.log
baseline,,1,ml2,33,,,,,,,,,,0.8968,exp_baseline_ml2_run1.log
baseline,,1,ml2,34,,,,,,,,,,0.8890,exp_baseline_ml2_run1.log
baseline,,1,ml2,35,,,,,,,,,,0.8969,exp_baseline_ml2_run1.log
baseline,,1,ml2,36,,,,,,,,,,0.8959,exp_baseline_ml2_run1.log
baseline,,1,ml2,37,,,,,,,,,,0.8863,exp_baseline_ml2_run1.log
baseline,,1,ml2,38,,,,,,,,,,0.8989,exp_baseline_ml2_run1.log
baseline,,1,ml2,39,,,,,,,,,,0.8979,exp_baseline_ml2_run1.log
baseline,,1,ml2,40,,,,,,,,,,0.8940,exp_baseline_ml2_run1.log
baseline,,1,ml2,41,,,,,,,,,,0.9012,exp_baseline_ml2_run1.log
baseline,,1,ml2,42,,,,,,,,,,0.8932,exp_baseline_ml2_run1.log
baseline,,1,ml2,43,,,,,,,,,,0.8988,exp_baseline_ml2_run1.log
baseline,,1,ml2,44,,,,,,,,,,0.8974,exp_baseline_ml2_run1.log
baseline,,1,ml2,45,,,,,,,,,,0.8934,exp_baseline_ml2_run1.log
baseline,,1,ml2,46,,,,,,,,,,0.8970,exp_baseline_ml2_run1.log
baseline,,1,ml2,47,,,,,,,,,,0.8996,exp_baseline_ml2_run1.log
baseline,,1,ml2,48,,,,,,,,,,0.8963,exp_baseline_ml2_run1.log
baseline,,1,ml2,49,,,,,,,,,,0.8983,exp_baseline_ml2_run1.log
baseline,,1,ml2,50,,,,,,,,,,0.9018,exp_baseline_ml2_run1.log
