condition,noise,run,node,epoch,grad_slope,grad_thresh,grad_pass,acc_variance,var_thresh,var_pass,local_converged,global_flag_value,log_reported_node,val_accuracy,source_file
full_dp,0.5,1,ml1,1,,,,,,,,,,0.5876,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,2,,,,,,,,,,0.6459,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,3,,,,,,,,,,0.6717,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,4,,,,,,,,,,0.6894,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,5,,,,,,,,,,0.6940,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,6,,,,,,,,,,0.6927,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,7,,,,,,,,,,0.7013,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,8,,,,,,,,,,0.7046,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,9,,,,,,,,,,0.6997,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,10,,,,,,,,,,0.7206,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,11,,,,,,,,,,0.7268,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,12,,,,,,,,,,0.7266,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,13,,,,,,,,,,0.7301,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,14,,,,,,,,,,0.7396,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,15,,,,,,,,,,0.7413,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,16,,,,,,,,,,0.7386,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,17,,,,,,,,,,0.7460,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,18,,,,,,,,,,0.7423,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,19,,,,,,,,,,0.7618,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,20,,,,,,,,,,0.7590,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,21,,,,,,,,,,0.7592,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,22,,,,,,,,,,0.7605,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,23,,,,,,,,,,0.7620,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,24,,,,,,,,,,0.7672,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,25,,,,,,,,,,0.7692,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,26,,,,,,,,,,0.7665,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,27,,,,,,,,,,0.7663,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,28,,,,,,,,,,0.7591,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,29,,,,,,,,,,0.7799,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,30,,,,,,,,,,0.7782,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,31,,,,,,,,,,0.7803,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,32,,,,,,,,,,0.7848,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,33,,,,,,,,,,0.7777,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,34,,,,,,,,,,0.7884,exp_full_dp_0.5_ml1_run1.log
full_dp,0.5,1,ml1,35,,,,,,,,,,0.7810,exp_full_dp_0.5_ml1_run1.log
