noise_multiplier,node,run,epoch,grad_slope,acc_variance,val_acc
0.5,ml2,1,6,2.556706,0.00030535,0.6866
0.5,ml2,1,7,1.510397,0.0001516,0.7138
0.5,ml2,1,8,0.508256,0.00014488,0.7201
0.5,ml2,1,9,0.087682,0.00022964,0.7305
0.5,ml2,1,10,1.100421,0.00021135,0.7146
0.5,ml2,1,11,0.096179,6.235e-05,0.7327
0.5,ml2,1,12,0.702327,5.774e-05,0.7337
0.5,ml2,1,13,0.856925,8.915e-05,0.7439
0.5,ml2,1,14,1.350744,0.00010405,0.7409
0.5,ml2,1,15,1.098933,1.857e-05,0.7398
0.5,ml2,1,16,0.886259,2.975e-05,0.7504
0.5,ml2,1,17,0.731522,2.67e-05,0.7528
0.5,ml2,1,18,1.489304,4.145e-05,0.7558
0.5,ml2,1,19,0.659702,4.117e-05,0.7584
0.5,ml2,1,20,0.589766,1.741e-05,0.7623
0.5,ml2,1,21,0.032985,1.267e-05,0.7616
0.5,ml2,1,22,0.025318,9.08e-06,0.7643
0.5,ml2,1,23,0.465089,7.06e-06,0.7663
0.5,ml2,1,24,0.399199,3.45e-06,0.7658
0.5,ml2,1,25,1.100338,2.649e-05,0.7767
0.5,ml2,1,26,1.276518,2.556e-05,0.7745
0.5,ml2,1,27,0.05633,2.337e-05,0.7762
0.5,ml2,1,28,0.218117,2.11e-05,0.7792
0.5,ml2,1,29,0.615324,2.31e-06,0.7772
0.5,ml2,1,30,0.002328,2.44e-06,0.7759
0.5,ml2,1,31,0.604387,1.051e-05,0.7847
0.5,ml2,1,32,0.872604,1.744e-05,0.772
0.5,ml2,1,33,0.916505,2.153e-05,0.7828
0.5,ml2,1,34,0.705818,3.599e-05,0.7885
0.5,ml2,1,35,0.227697,4.668e-05,0.7922
0.5,ml2,1,36,2.525081,4.759e-05,0.7864
0.5,ml2,1,37,1.621415,1.3e-05,0.7923
0.5,ml2,1,38,0.714421,1.016e-05,0.7955
0.5,ml2,1,39,0.792677,8.85e-06,0.7928
0.5,ml2,1,40,1.352695,1.083e-05,0.7953
0.5,ml2,1,41,1.10033,3.22e-06,0.7971
0.5,ml2,1,42,1.523295,7.32e-06,0.801
0.5,ml2,1,43,0.617789,1.076e-05,0.8013
0.5,ml2,1,44,1.008604,5.61e-06,0.8002
0.5,ml2,1,45,0.188919,3.3e-06,0.8025
0.5,ml2,1,46,1.039526,5.9e-07,0.8018
0.5,ml2,1,47,0.873195,2.15e-06,0.7983
0.5,ml2,1,48,0.041644,2.12e-06,0.8011
0.5,ml2,1,49,0.453992,5.99e-06,0.8059
0.5,ml2,1,50,1.069911,6.5e-06,0.8037
0.5,ml2,2,6,1.834922,0.00027633,0.7091
0.5,ml2,2,7,0.926392,0.00018754,0.7133
0.5,ml2,2,8,0.189743,0.00024459,0.7219
0.5,ml2,2,9,2.41819,0.00011077,0.7262
0.5,ml2,2,10,0.882961,7.954e-05,0.734
0.5,ml2,2,11,0.234233,9.919e-05,0.7423
0.5,ml2,2,12,0.270513,6.234e-05,0.7404
0.5,ml2,2,13,0.53318,3.556e-05,0.7406
0.5,ml2,2,14,1.624997,8.37e-06,0.7378
0.5,ml2,2,15,0.225727,2.152e-05,0.7513
0.5,ml2,2,16,0.988111,3.974e-05,0.7532
0.5,ml2,2,17,0.163277,6.513e-05,0.7594
0.5,ml2,2,18,1.225018,5.769e-05,0.7575
0.5,ml2,2,19,1.181574,2.27e-05,0.7648
0.5,ml2,2,20,0.184449,1.885e-05,0.7643
0.5,ml2,2,21,1.040134,1.285e-05,0.7671
0.5,ml2,2,22,0.86953,1.041e-05,0.7644
0.5,ml2,2,23,0.103718,1.59e-06,0.767
0.5,ml2,2,24,0.138026,4.56e-06,0.7701
0.5,ml2,2,25,0.630633,3.31e-06,0.7677
0.5,ml2,2,26,0.329887,1.597e-05,0.7762
0.5,ml2,2,27,0.931395,4.031e-05,0.7839
0.5,ml2,2,28,1.154223,5.607e-05,0.7869
0.5,ml2,2,29,0.823245,4.641e-05,0.7823
0.5,ml2,2,30,0.81905,2.451e-05,0.7911
0.5,ml2,2,31,0.167141,9.01e-06,0.7865
0.5,ml2,2,32,0.835032,8.07e-06,0.7881
0.5,ml2,2,33,0.212542,1.089e-05,0.7828
0.5,ml2,2,34,1.831724,1.773e-05,0.779
0.5,ml2,2,35,0.065833,2.173e-05,0.7927
0.5,ml2,2,36,0.172969,5.186e-05,0.7994
0.5,ml2,2,37,0.582594,6.163e-05,0.7963
0.5,ml2,2,38,0.288614,6.634e-05,0.8024
0.5,ml2,2,39,1.922329,1.066e-05,0.799
0.5,ml2,2,40,0.003572,3.78e-06,0.7988
0.5,ml2,2,41,0.053935,3.78e-06,0.7994
0.5,ml2,2,42,0.288896,1.76e-06,0.8005
0.5,ml2,2,43,0.68619,1.58e-06,0.8022
0.5,ml2,2,44,1.037879,2.13e-06,0.798
0.5,ml2,2,45,0.211194,9.67e-06,0.807
0.5,ml2,2,46,0.145197,1.246e-05,0.8068
0.5,ml2,2,47,0.424068,1.109e-05,0.8042
0.5,ml2,2,48,0.701576,1.34e-05,0.8082
0.5,ml2,2,49,0.757639,3.09e-06,0.8095
0.5,ml2,2,50,2.400216,9.39e-06,0.8009
0.5,ml2,3,6,1.098236,0.00041295,0.7032
0.5,ml2,3,7,1.175856,3.157e-05,0.7049
0.5,ml2,3,8,0.022362,8.105e-05,0.7189
0.5,ml2,3,9,0.906696,0.00012151,0.724
0.5,ml2,3,10,0.78775,0.00010213,0.7283
0.5,ml2,3,11,0.884501,6.556e-05,0.7237
0.5,ml2,3,12,0.065667,2.383e-05,0.7334
0.5,ml2,3,13,3.435665,2.438e-05,0.7187
0.5,ml2,3,14,1.558259,4.045e-05,0.7158
0.5,ml2,3,15,1.001051,0.00012718,0.7468
0.5,ml2,3,16,2.023087,0.00014674,0.7408
0.5,ml2,3,17,0.215111,0.00015321,0.7375
0.5,ml2,3,18,0.609763,0.00014212,0.7495
0.5,ml2,3,19,1.96565,5.426e-05,0.7587
0.5,ml2,3,20,1.426474,6.862e-05,0.7561
0.5,ml2,3,21,1.71515,9.093e-05,0.7657
0.5,ml2,3,22,0.401021,4.293e-05,0.7675
0.5,ml2,3,23,0.80271,2.791e-05,0.7699
0.5,ml2,3,24,0.429364,2.35e-05,0.7679
0.5,ml2,3,25,1.311203,5.39e-06,0.7725
0.5,ml2,3,26,1.082789,1.773e-05,0.779
